"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Amador, El Dorado","Sand Fire","4240","38.5691","-120.7819","Wildfire","2014-07-25 09:34:00-07","2014-07-25","2014","7","2014-08-02 12:15:00-07","2014-08-02","4d07ccc3-32be-4a1d-acac-18333884c97d"
"Napa","Wragg Fire","8051","38.4994","-122.1145","Wildfire","2015-07-22 07:24:00-07","2015-07-22","2015","7","2015-08-05 10:30:00-07","2015-08-05","c2279826-dc2f-4eb5-9d3b-3d03eb0b139f"
"Butte","Butte Fire","70868","38.32974","-120.70418","Wildfire","2015-09-09 07:26:00-07","2015-09-09","2015","9","2015-10-15 12:45:00-07","2015-10-15","13466833-32d1-418b-b145-f7ce1f7bf66e"
"Santa Barbara","Coast Fire","14","34.605358","-120.414875","Wildfire","2017-12-14 04:59:00-08","2017-12-14","2017","12","2018-01-09 05:49:00-08","2018-01-09","2fa6f5ce-1c5b-4147-9f1f-9beb01c499af"
"Riverside","Riverbottom Fire","45","33.9885","-117.38417","Wildfire","2017-12-21 03:16:00-08","2017-12-21","2017","12","2018-01-09 05:49:00-08","2018-01-09","e32c7957-8f4f-4ec1-a0f6-98085a2a7e89"
"Santa Barbara","Drum Fire","14","34.71796","-120.27077","Wildfire","2017-12-16 04:21:00-08","2017-12-16","2017","12","2018-01-09 05:49:00-08","2018-01-09","64779f92-8353-4187-ae56-2b83eb66d7ca"
"El Dorado","Holiday Fire","80","38.869036","-119.61865","Wildfire","2017-12-28 12:51:00-08","2017-12-28","2017","12","2018-01-09 05:49:00-08","2018-01-09","d20645f2-81b9-450f-abc1-433b81bd7fea"
"Santa Barbara, Ventura","Thomas Fire","281893","34.41521","-119.09124","Wildfire","2017-12-04 10:28:00-08","2017-12-04","2017","12","2018-01-12 03:24:00-08","2018-01-12","d28bc34e-73a8-454d-9e55-dea7bdd40bee"
"Mendocino","Redwood Valley Fire (Mendocino Lake Complex)","36523","39.24873","-123.16635","Wildfire","2017-10-08 16:36:00-07","2017-10-08","2017","10","2018-02-09 00:56:00-08","2018-02-09","c229ea5c-2ebd-4f80-892e-fc5da8a1eeea"
"Napa, Sonoma","Tubbs Fire (Central LNU Complex)","36807","38.60895","-122.62879","Wildfire","2017-10-08 14:45:00-07","2017-10-08","2017","10","2018-02-09 01:27:00-08","2018-02-09","82c2aafa-ef04-49f0-a172-0dfa8a15582e"
"Napa, Sonoma","Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex)","44573","38.4041","-122.5209","Wildfire","2017-10-09 15:00:00-07","2017-10-09","2017","10","2018-02-09 01:30:00-08","2018-02-09","be79d28c-767d-4a0d-b168-e86a5842004f"
"Napa, Solano","Atlas Fire (Southern LNU Complex)","51624","38.39206","-122.24367","Wildfire","2017-10-09 14:52:00-07","2017-10-09","2017","10","2018-02-09 01:37:00-08","2018-02-09","676946dc-1b38-4a09-9bbe-9ce638cfed52"
"Yuba","Cascade Fire (Wind Complex)","9989","39.32198","-121.4021","Wildfire","2017-10-08 16:03:00-07","2017-10-08","2017","10","2018-02-09 01:39:00-08","2018-02-09","608ed849-d1ec-4b0d-a477-d1b8e9c7e6dd"
"Nevada","Lobo Fire (Wind Complex)","821","39.24549","-121.12792","Wildfire","2017-10-07 17:01:00-07","2017-10-08","2017","10","2018-02-09 01:51:00-08","2018-02-09","29c37ab7-3af9-458f-b6d3-72023a8c1046"
"Shasta, Trinity","Carr Fire","229651","40.65428","-122.62357","Wildfire","2018-07-23 06:15:00-07","2018-07-23","2018","7","2018-08-30 02:37:00-07","2018-08-30","240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d"
"Butte","Camp Fire","153336","39.8134","-121.4347","Wildfire","2018-11-07 22:33:00-08","2018-11-08","2018","11","2018-11-25 00:00:00-08","2018-11-25","75dafe80-f18a-4a4a-9a37-4b564c5f6014"
"Los Angeles, Ventura","Woolsey Fire","96949","34.235","-118.70128","Wildfire","2018-11-08 06:24:00-08","2018-11-08","2018","11","2019-01-04 00:42:00-08","2019-01-04","92d7aeea-7abf-47a4-bf76-a4fe0fac65c6"
"Ventura","Hill Fire","4381","34.22685","-118.93444","Wildfire","2018-11-08 06:03:00-08","2018-11-08","2018","11","2019-01-04 00:43:00-08","2019-01-04","bc95da49-28a0-4e56-88d9-72e7455063c0"
"Ventura","Peak Fire","186","34.26734825","-118.64381589","Wildfire","2018-11-12 02:06:00-08","2018-11-12","2018","11","2019-01-04 00:46:00-08","2019-01-04","c3b66e33-ef00-4874-a29b-b36640c16122"
"El Dorado","Meyers Fire","12","38.7448","-120.65672","Wildfire","2018-09-20 05:39:00-07","2018-09-20","2018","9","2019-01-04 01:03:00-08","2019-01-04","9ea41d38-ee7c-4394-9ea8-cbf33e788f13"
"Shasta, Trinity","Delta Fire","63311","40.9425","-122.43","Wildfire","2018-09-05 05:51:00-07","2018-09-05","2018","9","2019-01-04 01:07:00-08","2019-01-04","ba818380-4001-46a2-ac04-d5f322cdf3b9"
"Colusa, Lake, Mendocino","River Fire (Mendocino Complex)","48920","39.04786","-123.11971","Wildfire","2018-07-27 06:01:00-07","2018-07-27","2018","7","2019-01-04 01:18:00-08","2019-01-04","af30fe23-6cfd-4fd6-b2d9-91648eeae814"
"Orange","Holy Fire","23136","33.69888","-117.52055","Wildfire","2018-08-06 06:20:00-07","2018-08-06","2018","8","2019-01-04 01:23:00-08","2019-01-04","5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba"
"Mariposa","Wagner Fire","22","37.69965","-120.0545","Wildfire","2018-08-04 06:57:00-07","2018-08-04","2018","8","2019-01-04 01:24:00-08","2019-01-04","deb9364c-ab73-4661-b287-2ffc1797296e"
"El Dorado","Omega Fire","66","38.82128","-121.03918","Wildfire","2018-08-01 07:40:00-07","2018-08-01","2018","8","2019-01-04 01:27:00-08","2019-01-04","6e4ecf7a-2864-4fc6-85cb-9b2a0ac324df"
"Napa","Steele Fire","135","38.51943","-122.18353","Wildfire","2018-07-28 09:30:00-07","2018-07-28","2018","7","2019-01-04 01:30:00-08","2019-01-04","2410754e-b988-4f4f-b7ee-21f954c2bbf2"
"Colusa, Mendocino, Glenn, Lake","Ranch Fire (Mendocino Complex)","410203","39.243283","-123.103367","Wildfire","2018-07-27 05:05:00-07","2018-07-27","2018","7","2019-01-04 01:33:00-08","2019-01-04","90b0daf7-5d84-42d9-bb35-bb78d4faf950"
"Contra Costa","Marsh Fire","247","37.89612","-121.85847","Wildfire","2018-07-25 07:41:00-07","2018-07-25","2018","7","2019-01-04 01:34:00-08","2019-01-04","df681456-a50e-4400-a95a-77533a0978ba"
"Lake","Carder Fire","50","38.91152","-122.86854","Wildfire","2018-07-21 07:40:00-07","2018-07-21","2018","7","2019-01-04 01:38:00-08","2019-01-04","d7745759-07bd-40a7-a66c-003b174851b2"
"Lake","Spring 2 Fire","80","39.06715","-122.59789","Wildfire","2018-07-09 09:46:00-07","2018-07-09","2018","7","2019-01-04 01:51:00-08","2019-01-04","78eabcbb-32b9-4438-ab84-8eb65c044db7"
"Santa Barbara","Holiday Fire","113","34.463889","-119.831389","Wildfire","2018-07-06 13:40:00-07","2018-07-06","2018","7","2019-01-04 01:54:00-08","2019-01-04","76725105-a814-4e8d-bd5b-d0f2f1879dae"
"Amador","Irish Fire","825","38.42623","-120.95408","Wildfire","2018-07-06 07:42:00-07","2018-07-06","2018","7","2019-01-04 01:54:00-08","2019-01-04","be804253-e994-4f40-9e07-5c215533231c"
"San Diego","West Fire","504","32.833674","-116.7311","Wildfire","2018-07-06 16:39:00-07","2018-07-06","2018","7","2019-01-04 01:55:00-08","2019-01-04","2a1c14d1-2a88-4564-bd09-585e09ffc9a7"
"Siskiyou","Klamathon Fire","38008","41.893332","-122.534655","Wildfire","2018-07-05 05:31:00-07","2018-07-05","2018","7","2019-01-04 01:55:00-08","2019-01-04","d7e7eaca-5716-48b3-bd34-37acea282634"
"Napa, Yolo","County Fire","90000","38.80583","-122.18183","Wildfire","2018-06-30 07:12:00-07","2018-06-30","2018","6","2019-01-04 01:57:00-08","2019-01-04","97ff14e8-6d08-4214-ad3b-847fa3a0e84a"
"San Joaquin","Waverly Fire","11789","38.052055","-120.945482","Wildfire","2018-06-29 08:11:00-07","2018-06-29","2018","6","2019-01-04 01:58:00-08","2019-01-04","4efc7855-ecbf-4507-8435-399e23a91fef"
"Lassen","Hyatt Fire","383","40.316137","-120.45053","Wildfire","2018-06-27 08:09:00-07","2018-06-27","2018","6","2019-01-04 01:59:00-08","2019-01-04","218619b5-ad0c-4238-8e31-ab6d98932a73"
"Calaveras","Horse Fire","80","37.95766","-120.68902","Wildfire","2018-06-24 08:28:00-07","2018-06-24","2018","6","2019-01-04 02:01:00-08","2019-01-04","f2d02439-f682-47e7-b6e9-6e51ca068c86"
"Lake","Pawnee Fire","15180","39.0674","-122.59848","Wildfire","2018-06-23 10:21:00-07","2018-06-23","2018","6","2019-01-04 02:01:00-08","2019-01-04","25574325-cf1d-4191-bc3d-c50ed0a15f9c"
"Tehama","Stoll Fire","268","40.18395","-122.27574","Wildfire","2018-06-23 05:52:00-07","2018-06-23","2018","6","2019-01-04 02:02:00-08","2019-01-04","72999057-198b-4cd2-a316-2e854ef9a7f8"
"San Luis Obispo","Creek Fire","10","35.05747","-120.39295","Wildfire","2018-06-21 09:45:00-07","2018-06-21","2018","6","2019-01-04 02:03:00-08","2019-01-04","d752892a-9bdf-4b91-83f0-2d3f94c3f370"
